group,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
    Bosnia and Herzegovina,n.s.,n.s.,(D),1,4,0,0,(*),(*),0,0,(*),(*),0,0,n.s.,0,n.s.,0,0,0,0,(*),0,(*),(*),(*),(*),(*),(*),(*),(*)
    Bulgaria,(*),0,0,0,0,0,-1,1,(*),(*),(*),0,0,(*),-1,2,1,-1,(*),(*),(*),-1,(*),(D),(D),(D),-45,(D),(D),(D),(D),(D)
    Croatia,n.s.,n.s.,0,0,0,0,0,(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
    Cyprus,(D),(D),-1,1,-1,1,(D),(D),-22,(D),(D),1,(D),-16,(D),(D),(D),260,(D),(D),-173,(D),-221,154,-71,151,-607,-1516,-137,17,57,-59
    Czech Republic,n.s.,n.s.,n.s.,0,0,0,-1,-1,(*),(*),(D),(D),20,-1,44,1,-24,-17,3,15,49,26,-32,25,-4,30,-1,22,-49,123,-31,89
    Czechoslovakia,0,0,(*),n.s.,...,...,...,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Finland,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Estonia,n.s.,0,0,0,0,0,0,0,0,0,2,(*),(*),-1,(*),(*),(*),-3,-1,(*),(*),1,-1,-1,(*),(*),(*),-4,-2,-1,-1,1
    Georgia,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,-1,1,0,0,0,0,0,(*),-1,0,0,0,0,-1,1,-2,-1,-1,0,0
    Gibraltar,(D),-1,-3,(D),(D),(D),-2,(D),(D),(D),(D),(D),34,(D),(D),(D),(D),(D),(*),51,(D),(D),136,-162,(D),7177,-71,305,1462,249,386,285
    Greece,-2,-44,29,-8,6,25,27,34,21,55,50,-160,59,64,156,194,(D),-161,(D),-109,-169,-164,-113,-67,-28,35,44,-51,-229,-70,82,-8
    Greenland,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,(*),(*),(*),(*),(*),(*),(*),(*),(*),0,(*),(*),(*),(*),(*),(*),(D),(D),(*),(*)
    Hungary,(D),(D),7,-2,-1,-1,-7,(D),(D),810,3992,12463,129,-2277,744,1975,4499,8689,2400,266,-26488,-3650,3013,591,4452,-5312,4166,2543,8307,3827,-2120,-767
    Iceland,(D),(D),-9,(D),(D),(*),-5,4,(D),48,-30,(D),-198,(D),5635,191,(D),-2085,-798,-5576,(D),(D),(D),(D),(D),(D),(D),-62,-29,-17,-16,46
    Kazakhstan,n.s.,n.s.,0,0,0,0,0,-1,-3,6,-3,-1,(*),1,1,(*),-16,-22,(D),(D),4,(*),7,(D),-15,41,-3,4,1,(*),(*),(*)
    Kosovo,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Kyrgyzstan,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,(*),0,0,(*),(*),0,0,0,0,0,0,0,(*),(*),(*),(*),(*)
    Latvia,n.s.,0,0,0,0,0,0,0,0,0,(*),(*),0,0,-1,27,(*),1,-1,(*),1,(*),(*),(*),(D),(D),(*),(D),(D),(D),(D),(D)
    Liechtenstein,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,-14,29,1,-50,-6,12,4,43,(D),24,51,23,14,68,4,43,(D),-25,27,(D),182,149,76,41,180
    Lithuania,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,(*),0,0,0,(*),(D),1,-5,7,-2,(*),(D),(D),(D),(D),(D),(D),(D),(D),(D)
    Malta,-2,11,3,(D),15,(D),(D),(D),(D),7,(D),(D),(D),(D),(D),2,(*),6,-12,6,1,(D),18,29,484,-257,601,341,-33,506,140,189
    Moldova,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,0,0,0,0,(*),(*),(D),(*),(*)
    Norway,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Monaco,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,- - - - -,(*),1,-7,6,1,(*),(*),1,(*),(*),1,(D),-34,(D),(*)
    Montenegro,n.s.,n.s.,0,0,0,0,0,(*),(*),(*),(*),(*),0,0,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,0,0,0,0,0,(*),(*),(*),(*)
