group,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
      Sint Maarten[2],n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,--,--,--,0,0,0,0,0,0,(*),(*),(*),(*),(*)
      St. Kitts and Nevis,0,0,(*),-1,-1,-2,-2,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,(*),-1,(*),(D),(D),(*),-4,(D),(D),(D),(D),(D)
      St. Lucia,0,0,0,0,0,0,0,0,(*),(*),0,-1,1,0,(*),(*),(*),1,-1,(*),1,1,-1,0,(*),(*),0,(D),(D),(*),(D),1
      St. Pierre and Miquelon,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,0,0,0,0,(*),(*),(*),(*),(*)
      St. Vincent and the Grenadines,0,0,0,0,0,0,0,-1,-1,(*),(*),(*),(*),(*),(*),(*),-1,(*),(*),-2,1,(*),(*),0,0,(*),(*),2,-2,1,(*),(*)
      Trinidad and Tobago,1,(*),(*),1,1,(*),(D),-18,(D),(D),9,(D),(D),22,76,8,11,56,-19,-55,106,63,-28,-129,109,-55,-65,29,45,-12,-25,213
"      United Kingdom Islands, Atlantic (OWH)",0,0,0,0,0,0,0,0,(D),(D),0,0,0,1,-1,3,-3,-5,(D),(*),(*),(*),2,(D),1,-1,-26,(D),24,-10,-6,15
Africa,-8,223,36,61,44,-117,-101,443,-601,423,666,-308,-9,-34,-605,323,255,-103,958,-672,1085,1988,-72,207,825,1853,-48,939,223,3943,434,767
  South Africa,-16,-87,1,15,-9,1,-27,-13,148,113,216,-104,-71,-44,-100,-226,131,-325,438,-217,126,261,-147,234,421,1893,88,569,12,-171,538,515
  Other,8,309,35,46,53,-119,-74,457,-749,311,450,-204,62,9,-505,549,124,222,521,-455,959,1726,75,-27,404,-40,-136,370,211,4114,-104,251
    Algeria,0,0,0,0,0,0,0,(D),1,-1,(D),(D),(D),(*),(D),(D),-4,-3,6,-2,-1,6,-5,(D),(D),(D),-3,(D),(D),(*),3,(*)
    Angola,0,0,0,2,-2,-1,-1,-1,2,-1,-4,-3,(D),1,(D),-13,41,-69,77,-20,17,-1,177,-3,-71,118,28,60,(D),(D),-25,13
    Benin,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,-1,1,0,0,0,-2,4,-2,0,0,0,0,0,0,0,(*),(*),(*),(*),(*)
    Botswana,0,0,-1,1,0,0,0,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,(*),(*),(*),(*),(*),-1,0,1,(*),0,0,0,0
    Burkina Faso,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,1,(*),(*),0,0,0,-1,(*),(*),1,0,0
    Burundi,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Cabo Verde,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,0,0,0,0,-2,0,0,0,0
    Cameroon,(*),-1,1,0,0,0,0,0,(*),(*),0,0,0,0,(*),1,(*),0,-5,3,2,(*),-7,(D),(D),(D),(D),2,(*),0,(*),0
    Central African Republic,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,0,0,(*),(*),(*),(*),0,0,0
    Chad,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,(*),(*),(*),0,(*),-1,-2,4,1,1,-1,0,0,0
    Comoros,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Cape Verde,0,0,0,0,1,-1,0,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Congo (Brazzaville),0,0,0,0,0,0,0,0,(*),-1,-1,-1,1,0,-5,1,0,2,1,-3,4,18,(D),(D),-10,1,3,(*),(D),(D),0,0
    Congo (Kinshasa),(D),(D),0,0,0,0,0,(*),(*),(*),(*),(*),0,0,n.s.,n.s.,n.s.,n.s.,0,0,0,0,(D),(D),0,2,-2,(*),(D),(D),(*),(*)
    Cote D'Ivoire,(*),0,0,(*),0,2,-2,0,0,0,0,0,-1,-1,-27,(D),78,-84,(D),1,1,-4,2,-5,3,(D),(D),1,0,(*),(*),-1
    Djibouti,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Egypt,9,-4,1,-4,-59,-7,-1,-1,-19,3,-17,16,-16,-18,-7,25,-112,96,-33,-3,-45,23,-11,(D),(*),8,-39,75,-41,40,5,89
    Equatorial Guinea,0,0,0,0,0,0,0,(*),(*),(*),-3,(D),-9,-12,25,2,(D),-7,-4,(D),(D),10,-11,(D),(D),7,(D),(D),(D),(D),3,(*)
    Eritrea,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Eswatini,(*),(*),0,0,0,0,0,0,0,0,0,0,0,0,-3,1,2,n.s.,0,0,0,0,(*),2,-7,0,0,4,-1,-1,(*),(*)
    Ethiopia,0,0,0,1,-1,0,0,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,-1,(*),0,0,-1,(*),1,-1,(*),5,(D),1,2,2
    Gabon,-20,19,-1,1,0,-1,-1,2,-2,2,-1,1,1,-1,3,-1,(*),1,-4,-1,-4,-1,-6,(D),(D),(D),(D),(D),(D),(*),0,(*)
    Gambia,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Ghana,0,0,0,0,0,0,0,0,0,-1,(*),(*),-3,3,-1,0,-2,4,-8,7,-1,(D),-1,-41,8,-70,56,2,-1,1,3,-5
    Guinea,0,0,0,(D),(D),(D),2,(D),(D),4,(D),5,(D),(D),26,38,(D),(D),(D),-1,2,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
    Guinea-Bissau,0,0,0,0,0,0,0,n.s.,n.s.,n.s.,n.s.,n.a.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Kenya,(*),-1,-2,2,(*),(*),-1,(*),(*),(*),1,-1,1,0,0,(*),(*),(*),(*),-3,-3,(D),-2,(D),24,-1,(D),-7,(D),-13,-13,25
    Lesotho,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,(*),(*),0,0,0,0,(D),(D),-5,-3,-2
    Liberia,13,348,50,57,85,-96,-71,474,-753,299,550,-312,87,74,152,-78,61,137,54,-108,95,-21,-88,-13,5,-11,(D),-14,36,4,-45,5
    Libya,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,-1,1,-2,-1,(*),1,(D),(D),(D),(D),(D),(D),(D),0,0,0
    Madagascar,0,0,0,0,0,0,0,-1,(*),(*),(*),2,0,0,n.s.,n.s.,n.s.,n.s.,0,0,0,-1,1,0,0,0,0,-1,1,(*),(*),(*)
    Malawi,(*),1,-1,1,0,0,0,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,-1,0,1,0,(*),(*),(*),(*),(*),0,0,0,0,0
    Mali,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,-1,1,(*),0,0,-1,-1,-1,1,-1,1,1,1,0,0
    Mauritania,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,0,-1,4,2,0,-5,(*),(*),(*),0,0,-1,1,(*),(*),(*),0,0,0,0
    Mauritius,0,0,0,0,0,0,0,0,0,0,(D),87,(D),(D),1,-16,(*),129,297,-190,(D),(D),16,114,322,-318,-65,149,102,(D),-116,410
    Morocco,-4,-2,-13,-4,7,-6,-4,-5,-3,-1,-1,(*),(*),9,-9,(*),(*),(*),(*),-1,-1,-2,-2,(D),-5,(D),(D),-7,-3,(*),-1,-1
    Mozambique,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,-1,(*),(*),1,2,-1,-2,1,(*),(*),2,-3,1,(*),(*)
    Namibia,0,0,0,1,-1,0,2,1,1,(*),-4,0,0,0,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,-9,(D),(D),-2,(*),2,-2,0,0
    Niger,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,-2,2,0,0,0,(*),(*),(*),(*),(*),0,0,(*),(*),0
    Nigeria,-17,16,(*),(D),(D),(D),4,(D),(D),7,5,(D),(*),21,(D),-4,25,21,87,(D),(D),-12,-15,-23,13,5,23,8,30,25,26,-18
    Rwanda,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Sao Tome and Principe,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Senegal,0,0,0,0,0,0,0,(*),(*),(*),(*),(*),0,0,n.s.,n.s.,n.s.,0,(D),(D),0,0,0,0,(*),(*),-2,(D),(D),(D),(D),-5
    Seychelles,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,(*),(*),(*),(*),(*),0,(*),(*),(*),(*),(*),(*),(*),(*),(*)
    Sierra Leone,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,(*),5,(*),(*),(*),0,(*),(*),(*),(*),(*)
    Somalia,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,(*),(*),(*),(*),(*),(*),(*),(*),(*),(*)
    South Sudan,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,--,--,--,0,0,0,0,(*),(*),0,0,0,0,0
    Sudan[5],(D),(D),0,0,0,0,0,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,(*),(*),(*),(*),(*),0,0,0,0,0
    Tanzania,(*),(*),0,0,0,0,0,0,0,0,(*),(*),(*),(*),0,(*),0,(*),(*),(*),-1,1,(*),-7,5,(D),(D),1,1,(*),-3,-2
    Togo,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Tunisia,0,0,0,0,0,0,0,-4,4,(*),1,0,-1,-4,4,0,-1,(D),-1,(*),-4,1,(D),-5,-4,1,-1,30,33,11,9,2
    Uganda,(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),0,(*),(*),0,0,0,-1,(*),(*),(*),(*),(*),0,0,(*)
"    United Kingdom Islands, Atlantic (Africa)",(*),(D),0,0,0,0,0,0,0,0,0,0,0,0,n.s.,n.s.,n.s.,n.s.,0,0,0,(*),(*),(D),(D),0,0,(*),(*),(D),(D),(D)
    Western Sahara,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Zambia,0,0,0,0,0,0,0,0,0,0,-1,(*),(*),(*),(*),(*),(*),-2,2,1,-1,-3,(D),0,(D),(D),-4,(D),(*),5,(*),-1
    Zimbabwe,(*),(*),0,0,0,0,-3,3,0,0,-2,2,0,0,n.s.,n.s.,n.s.,n.s.,0,0,0,0,1,-1,0,0,0,(*),-3,3,(*),(*)
Middle East,-613,599,337,495,251,-360,496,735,-762,376,2389,-401,1138,393,713,1799,2504,5430,3455,1366,-1747,8429,-681,1222,-1548,1448,639,5030,4936,3298,1437,1110
  Israel,5,613,102,498,199,-46,10,351,485,367,776,-86,636,184,593,234,(D),(D),2016,1166,273,6202,-658,575,-1198,952,90,112,1631,596,1827,633
  Kuwait,49,214,187,60,53,72,308,247,(D),(D),46,38,51,(D),121,(D),313,-115,-538,-12,-9,1018,-29,274,61,41,17,-10,158,-138,8,18
  Lebanon,-7,-6,-3,-2,-2,-2,-2,(*),-2,(*),2,(*),(*),(*),(*),-6,-1,(D),-1,(D),(D),(D),2,3,9,5,-2,-14,-6,-5,-2,-3
  Saudi Arabia,-613,-198,5,-53,81,(D),187,147,(D),(D),(D),-355,(D),(D),29,(D),(D),(D),-224,(D),-495,(D),(D),608,-1189,474,716,190,592,-481,(D),(D)
  United Arab Emirates,-13,1,3,7,-42,1,-11,-11,-32,-28,51,-19,6,4,-23,(D),1064,(D),1617,151,-1669,630,-196,-547,639,129,-432,4265,3450,3027,-107,807
  Other,-33,-24,42,-14,-39,(D),4,(*),5,12,(D),21,(D),-21,-8,-19,-13,582,587,151,(D),-323,(D),309,129,-154,250,488,-889,299,(D),(D)
    Bahrain,-21,-8,(D),(D),-21,(D),-11,(D),(D),(D),(D),(D),149,(D),-12,(D),-47,-16,25,-18,(D),(D),143,339,19,-24,9,57,-58,-48,75,-45
    Iran,(D),(D),(*),(*),(*),-1,-7,(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),0,(*),(*),(*),(*),(*),-2,2,-3,(*),(*),(*),(*),(*),(*)
    Iraq,0,0,0,0,(*),(*),0,0,0,0,0,0,0,1,-1,0,-4,4,2,(*),-1,(D),(D),-44,(D),-3,(D),(D),(D),(*),0,(*)
    Iraq-Saudi Arabia Neutral Zone,0,0,n.s.,n.s.,...,...,...,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Jordan,-9,-15,1,17,(D),5,(D),2,2,-10,8,11,(D),(D),(D),(D),(D),2,2,-5,-7,(D),(D),(D),28,(D),-18,(D),(D),(D),(D),-3
    Kuwait,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Lebanon,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Oman,-1,-2,-2,-3,5,1,1,1,-5,-3,-2,(D),(D),-1,1,(*),-1,-2,-4,-1,(*),1,-15,-33,7,12,10,13,(D),(D),-14,(D)
    Qatar,(D),(D),(D),(D),(D),2,1,15,13,-1,2,-1,(D),-2,5,44,(*),595,564,174,(D),19,-45,(D),(D),(D),178,261,(D),(D),(D),-88
    Saudi Arabia,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Syria,0,0,(*),1,(*),(*),(D),(D),(D),(D),(*),(*),(*),0,0,n.s.,0,0,(*),(*),(*),0,(*),(*),(*),(*),0,0,0,0,0,0
    United Arab Emirates,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Yemen,0,0,0,0,0,0,0,0,3,-5,-7,(D),(D),(D),(D),-2,(D),-1,-2,3,1,-1,(*),(D),(*),2,(D),(D),0,0,0,0
Asia and Pacific,20474,14352,4399,3472,7499,11854,17493,13383,9295,15876,19912,2104,13008,13755,24769,13056,25225,39721,42005,5482,26875,50832,26330,54473,71582,55117,61174,62359,27783,54262,41877,58551
  Australia,1279,-276,-282,312,960,2003,5321,666,1506,4193,4935,6490,6594,3422,3099,-5253,2174,5961,4574,-3850,4047,21163,-7122,-4805,1098,10587,5660,-1680,119,7587,7651,6652
  China,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,41,77,39,-6,247,-120,-62,150,146,315,8,500,500,1037,1105,3419,1920,2201,5127,18004,2211,320,3618,-1809,813
  Hong Kong,259,50,135,152,404,-134,57,77,145,-256,669,57,711,-41,1880,838,97,370,444,-10,271,236,1020,1745,4731,682,1720,786,3309,429,-723,329
  India,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,53,(*),-13,7,162,-16,125,277,868,443,731,1231,490,1289,1241,367,-22,1287,298,-544,894,-1072,-217,-299,1023
  Japan,18754,12782,4245,2949,5486,8118,13337,10187,8024,11555,7820,-3132,6500,8544,17489,14200,16466,21134,22321,6544,15805,17077,22114,46413,44891,32997,33732,45520,20817,35292,26804,39078
  Malaysia,19,-9,26,187,154,-49,82,75,-200,-76,300,86,-37,-49,17,96,28,37,22,-39,-112,475,-307,-28,235,118,-172,499,448,-224,228,68
  New Zealand,56,-29,9,32,40,-32,4,60,85,135,-11,72,115,104,182,-134,-131,423,470,230,77,1325,-475,-21,66,-317,-233,79,345,244,540,60
  Philippines,-5,-27,10,-5,27,-4,11,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
  Singapore,370,-350,-268,-336,115,232,-410,1363,-809,-560,5911,-1451,-484,1096,348,798,2217,5892,10471,1328,1496,2862,544,562,3911,2660,491,816,477,2781,1182,1822
  South Korea,-698,1848,203,-199,58,915,-760,184,110,960,438,24,-280,386,1143,1039,3283,4751,1440,236,2245,4798,6185,6601,9024,1302,3699,13332,1787,4208,5036,9398
  Taiwan,356,329,197,354,114,619,-2,514,516,-217,64,-503,17,136,234,374,149,269,537,-405,726,284,315,1086,1387,760,668,843,1876,455,3482,-639
  Other,84,32,124,26,141,187,-148,164,-158,117,-216,54,8,93,-50,84,184,143,-5,458,-6,265,269,1022,2750,905,-1850,-943,-644,90,-215,-52
    Afghanistan,(D),(D),(*),(*),(*),(*),(*),(*),(*),-1,1,(*),(*),(*),(*),(*),(*),0,1,2,2,(D),(D),(*),(*),1,-2,(D),-1,-2,(*),(*)
    Bangladesh,0,2,-1,0,0,0,-1,-1,(*),(*),-1,2,(*),(*),(*),(*),1,(*),1,1,1,1,1,(D),(D),(D),(*),13,-1,(*),2,3
    Bhutan,(*),0,0,0,0,1,-1,0,0,(*),(*),0,(D),0,0,n.s.,0,n.s.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Brunei,(D),(D),0,0,0,0,0,(D),-1,(*),-3,-3,(D),-1,1,(*),(*),-3,(*),3,-2,(D),(D),(D),(D),(D),(*),5,12,(D),(D),(D)
    Burma,0,(*),(*),0,0,0,0,0,0,(*),(*),0,0,0,-1,(*),1,(*),(*),(*),-1,(*),(*),1,(D),2,(D),-8,-2,-4,-3,-4
    Cambodia,-1,-1,0,0,(*),(*),0,-1,2,0,(*),(*),0,0,n.s.,n.s.,n.s.,0,0,-1,(*),(*),(*),(D),(D),(D),(*),5,(*),(*),2,4
    East Timor,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    China,37,11,-8,-49,170,79,-129,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Fiji,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,(*),(*),0,1,-1,n.s.,0,0,0,0,0,0,0,0,0,0,(D),1,0,0
"    French Islands, Indian Ocean",0,0,0,0,0,0,0,0,-1,(D),(D),(*),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"    French Islands, Pacific",0,0,0,0,(*),1,-1,(*),(*),(*),(*),(*),-1,1,0,n.s.,2,n.s.,(*),(D),(D),4,(D),1,3,0,0,(*),(D),(*),(*),(*)
    India,3,-5,18,13,6,26,1,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Indonesia,-13,16,81,7,11,63,-4,50,2,-102,-85,35,-6,19,-9,16,(D),33,-18,160,-134,125,-117,1170,339,173,-1059,-233,32,70,51,35
    Kiribati,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Laos,0,0,(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0
    Macau,0,0,(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(D),21,(D),-63,2,(D),(D),-2,(D),(D),-361,-144,16,-120,(*),(D),127,(D),(D)
    Maldives,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,(*),(*),0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Marshall Islands,0,0,0,0,0,0,0,0,0,0,2,1,(D),(D),(D),(D),(D),(*),(D),(D),1,3,(D),(D),(D),9,21,30,-8,(D),(D),(D)
    Micronesia,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Mongolia,0,0,0,0,0,0,0,0,0,(*),(*),-1,-1,1,(*),(*),-1,1,-2,-1,(*),-2,(D),(D),(*),1,-1,(D),(D),1,1,-1
    Nauru,4,3,0,0,0,0,0,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Nepal,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,0,0,0,0,1,(D),(D),-3,-2
    North Korea,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,(D),0,0,n.s.,0,0,(*),(*),(*),0,0,-1,1,0,0,0,0,0,0,0
    Pakistan,(*),7,-8,(*),4,8,-11,-4,-10,-5,-5,(D),(D),(D),(D),4,3,6,4,3,14,4,-11,(D),105,38,103,241,-53,-15,-13,-24
    Palau,-1,1,0,0,0,0,0,0,0,0,-1,1,0,0,n.s.,n.s.,n.s.,n.s.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Papua New Guinea,0,0,0,0,0,0,0,78,-78,(*),1,-2,-1,(*),2,(*),(*),(*),(*),(*),(*),(*),(*),-5,2,2,(*),-1,(*),(*),(*),(*)
    Philippines,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,8,11,13,-49,-21,17,-19,-5,-17,54,30,-65,70,-28,11,100,(D),768,145,-435,-87,-329,116,-13,38
    Samoa,0,0,0,0,0,0,(*),(*),(*),(*),(*),0,0,0,n.s.,n.s.,0,(*),(*),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
    Solomon Islands,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,(*),(*),0,0,0,0,0,0,0,0,0,0,0,0,0
    Sri Lanka,-1,(*),1,-1,(*),-2,-1,1,2,-1,3,6,(D),1,3,-5,1,(*),6,-4,(*),5,3,26,-1,2,9,-27,13,-40,-2,8
    Thailand,55,-5,42,60,-48,12,(*),8,-81,133,-75,8,-9,51,-87,-1,136,69,-147,11,-43,-32,245,79,572,469,711,-713,-298,-240,-104,-103
    Timor-Leste,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,0,0,-2,(*),2,0,-4,0,0,4,0,0,0,0
